,type,start,end,text,label,name
0,text,4,9,Lizzy,PERSON,Yordani
1,text,28,33,Lizzy,PERSON,Yordani
2,text,39,46,Yordani,PERSON,Yordani
3,text,221,228,Yordani,PERSON,Yordani
4,text,243,248,Lizzy,PERSON,Yordani
5,text,349,355,Mexico,GPE,Yordani
6,text,416,423,Yordani,PERSON,Yordani
7,text,438,443,Lizzy,PERSON,Yordani
8,text,478,482,U.S.,GPE,Yordani
9,text,536,543,Yordani,PERSON,Yordani
10,text,1050,1057,Yordani,PERSON,Yordani
11,text,1072,1075,9th,ORDINAL,Yordani
12,text,1077,1081,10th,ORDINAL,Yordani
13,text,1083,1087,11th,ORDINAL,Yordani
14,text,1089,1093,12th,ORDINAL,Yordani
15,text,1171,1175,12th,ORDINAL,Yordani
16,text,1430,1435,Lizzy,PERSON,Yordani
17,text,1478,1485,Yordani,PERSON,Yordani
18,text,1753,1755,18,DATE,Yordani
19,text,2033,2040,Yordani,PERSON,Yordani
20,text,2199,2252,"five, like three, seven, four, five, six, seven years",DATE,Yordani
21,text,2697,2704,Yordani,PERSON,Yordani
22,text,3012,3017,Lizzy,PERSON,Yordani
23,text,3032,3039,Yordani,PERSON,Yordani
24,text,3145,3150,first,ORDINAL,Yordani
25,text,3517,3522,Lizzy,PERSON,Yordani
26,text,3588,3595,Yordani,PERSON,Yordani
27,text,3664,3669,Lizzy,PERSON,Yordani
28,text,3684,3691,Yordani,PERSON,Yordani
29,text,4087,4094,Yordani,PERSON,Yordani
30,text,4499,4504,Lizzy,PERSON,Yordani
31,text,4535,4542,Yordani,PERSON,Yordani
32,text,4763,4768,first,ORDINAL,Yordani
33,text,5283,5288,first,ORDINAL,Yordani
34,text,5309,5316,Yordani,PERSON,Yordani
35,text,5541,5553,the next day,DATE,Yordani
36,text,6161,6168,Yordani,PERSON,Yordani
37,text,6620,6627,Yordani,PERSON,Yordani
38,text,7028,7035,Vikings,NORP,Yordani
39,text,7204,7209,Lizzy,PERSON,Yordani
40,text,7351,7358,Yordani,PERSON,Yordani
41,text,7383,7388,Lizzy,PERSON,Yordani
42,text,7512,7519,Yordani,PERSON,Yordani
43,text,8358,8363,Lizzy,PERSON,Yordani
44,text,8392,8399,Yordani,PERSON,Yordani
45,text,8440,8445,Lizzy,PERSON,Yordani
46,text,8547,8554,Yordani,PERSON,Yordani
47,text,9005,9010,Lizzy,PERSON,Yordani
48,text,9066,9073,Yordani,PERSON,Yordani
49,text,9649,9656,Yordani,PERSON,Yordani
50,text,10105,10110,Lizzy,PERSON,Yordani
51,text,10152,10159,Yordani,PERSON,Yordani
52,text,10527,10532,Lizzy,PERSON,Yordani
53,text,10578,10585,Yordani,PERSON,Yordani
54,text,10619,10624,Lizzy,PERSON,Yordani
55,text,10710,10717,Yordani,PERSON,Yordani
56,text,10766,10769,9th,ORDINAL,Yordani
57,text,10771,10775,10th,ORDINAL,Yordani
58,text,10853,10856,9th,ORDINAL,Yordani
59,text,10904,10907,9th,ORDINAL,Yordani
60,text,10986,10991,Lizzy,PERSON,Yordani
61,text,11074,11081,Yordani,PERSON,Yordani
62,text,11134,11139,Lizzy,PERSON,Yordani
63,text,11238,11244,Mexico,GPE,Yordani
64,text,11355,11362,Yordani,PERSON,Yordani
65,text,11504,11509,Lizzy,PERSON,Yordani
66,text,11560,11567,Yordani,PERSON,Yordani
67,text,11631,11636,Lizzy,PERSON,Yordani
68,text,11699,11706,Yordani,PERSON,Yordani
69,text,11961,11968,Yordani,PERSON,Yordani
70,text,12056,12061,first,ORDINAL,Yordani
71,text,12132,12137,Lizzy,PERSON,Yordani
72,text,12177,12184,Yordani,PERSON,Yordani
73,text,12228,12233,Lizzy,PERSON,Yordani
74,text,12289,12295,Mexico,GPE,Yordani
75,text,12320,12325,first,ORDINAL,Yordani
76,text,12388,12394,Mexico,GPE,Yordani
77,text,12403,12410,Yordani,PERSON,Yordani
78,text,12458,12463,first,ORDINAL,Yordani
79,text,12819,12824,Lizzy,PERSON,Yordani
80,text,12858,12865,Yordani,PERSON,Yordani
81,text,12946,12954,Mexicans,NORP,Yordani
82,text,13344,13349,first,ORDINAL,Yordani
83,text,13437,13442,Lizzy,PERSON,Yordani
84,text,13462,13469,Spanish,LANGUAGE,Yordani
85,text,13512,13519,Yordani,PERSON,Yordani
86,text,13530,13535,first,ORDINAL,Yordani
87,text,13605,13612,English,LANGUAGE,Yordani
88,text,13806,13811,Lizzy,PERSON,Yordani
89,text,13899,13906,Yordani,PERSON,Yordani
